# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.36737E+00 -0.10080E+01 -0.10076E+01 -0.83895E+00 -0.83886E+00 -0.78501E+00 -0.78495E+00 -0.45249E+00 -0.45127E+00 -0.36156E+00 -0.35897E+00 -0.33681E+00 -0.33642E+00 -0.27105E+00 -0.26747E+00 -0.20549E+00 -0.20369E+00 -0.18012E+00 -0.17918E+00 -0.79315E-01 -0.79046E-01 -0.29754E-01 -0.29654E-01 -0.12229E-01 -0.10993E-01  0.62613E+00  0.62739E+00
  0.38574E+00 -0.10079E+01 -0.10077E+01 -0.83891E+00 -0.83887E+00 -0.78502E+00 -0.78499E+00 -0.45221E+00 -0.45167E+00 -0.36024E+00 -0.35904E+00 -0.33683E+00 -0.33664E+00 -0.27103E+00 -0.26940E+00 -0.20463E+00 -0.20382E+00 -0.17994E+00 -0.17951E+00 -0.79090E-01 -0.78967E-01 -0.29614E-01 -0.29567E-01 -0.11852E-01 -0.11297E-01  0.62656E+00  0.62714E+00
  0.40411E+00 -0.10078E+01 -0.10078E+01 -0.83888E+00 -0.83887E+00 -0.78503E+00 -0.78503E+00 -0.45205E+00 -0.45191E+00 -0.35938E+00 -0.35908E+00 -0.33684E+00 -0.33679E+00 -0.27102E+00 -0.27061E+00 -0.20411E+00 -0.20390E+00 -0.17983E+00 -0.17972E+00 -0.78950E-01 -0.78919E-01 -0.29524E-01 -0.29512E-01 -0.11623E-01 -0.11484E-01  0.62683E+00  0.62697E+00
  0.42247E+00 -0.10078E+01 -0.10078E+01 -0.83888E+00 -0.83888E+00 -0.78504E+00 -0.78504E+00 -0.45199E+00 -0.45199E+00 -0.35909E+00 -0.35909E+00 -0.33684E+00 -0.33684E+00 -0.27102E+00 -0.27102E+00 -0.20393E+00 -0.20393E+00 -0.17979E+00 -0.17979E+00 -0.78902E-01 -0.78902E-01 -0.29494E-01 -0.29494E-01 -0.11547E-01 -0.11547E-01  0.62692E+00  0.62692E+00
  0.44084E+00 -0.10078E+01 -0.10078E+01 -0.83888E+00 -0.83888E+00 -0.78503E+00 -0.78503E+00 -0.45198E+00 -0.45198E+00 -0.35922E+00 -0.35922E+00 -0.33682E+00 -0.33682E+00 -0.27083E+00 -0.27083E+00 -0.20400E+00 -0.20400E+00 -0.17977E+00 -0.17977E+00 -0.78932E-01 -0.78932E-01 -0.29516E-01 -0.29516E-01 -0.11553E-01 -0.11553E-01  0.62690E+00  0.62690E+00
  0.45842E+00 -0.10078E+01 -0.10078E+01 -0.83889E+00 -0.83889E+00 -0.78501E+00 -0.78501E+00 -0.45194E+00 -0.45194E+00 -0.35960E+00 -0.35960E+00 -0.33674E+00 -0.33674E+00 -0.27027E+00 -0.27027E+00 -0.20421E+00 -0.20421E+00 -0.17973E+00 -0.17973E+00 -0.79019E-01 -0.79019E-01 -0.29583E-01 -0.29583E-01 -0.11572E-01 -0.11572E-01  0.62685E+00  0.62685E+00
  0.47599E+00 -0.10078E+01 -0.10078E+01 -0.83890E+00 -0.83890E+00 -0.78498E+00 -0.78498E+00 -0.45189E+00 -0.45189E+00 -0.36021E+00 -0.36021E+00 -0.33662E+00 -0.33662E+00 -0.26937E+00 -0.26937E+00 -0.20455E+00 -0.20455E+00 -0.17965E+00 -0.17965E+00 -0.79161E-01 -0.79161E-01 -0.29692E-01 -0.29692E-01 -0.11603E-01 -0.11603E-01  0.62677E+00  0.62677E+00
  0.49356E+00 -0.10078E+01 -0.10078E+01 -0.83892E+00 -0.83892E+00 -0.78494E+00 -0.78494E+00 -0.45181E+00 -0.45181E+00 -0.36102E+00 -0.36102E+00 -0.33647E+00 -0.33647E+00 -0.26813E+00 -0.26813E+00 -0.20502E+00 -0.20502E+00 -0.17955E+00 -0.17955E+00 -0.79354E-01 -0.79354E-01 -0.29839E-01 -0.29839E-01 -0.11645E-01 -0.11645E-01  0.62667E+00  0.62667E+00
  0.51113E+00 -0.10078E+01 -0.10078E+01 -0.83895E+00 -0.83895E+00 -0.78489E+00 -0.78489E+00 -0.45172E+00 -0.45172E+00 -0.36198E+00 -0.36198E+00 -0.33629E+00 -0.33629E+00 -0.26662E+00 -0.26662E+00 -0.20562E+00 -0.20562E+00 -0.17943E+00 -0.17943E+00 -0.79592E-01 -0.79592E-01 -0.30018E-01 -0.30018E-01 -0.11697E-01 -0.11697E-01  0.62655E+00  0.62655E+00
  0.52871E+00 -0.10078E+01 -0.10078E+01 -0.83898E+00 -0.83898E+00 -0.78484E+00 -0.78484E+00 -0.45161E+00 -0.45161E+00 -0.36305E+00 -0.36305E+00 -0.33611E+00 -0.33611E+00 -0.26486E+00 -0.26486E+00 -0.20634E+00 -0.20634E+00 -0.17929E+00 -0.17929E+00 -0.79865E-01 -0.79865E-01 -0.30222E-01 -0.30222E-01 -0.11758E-01 -0.11758E-01  0.62641E+00  0.62641E+00
