# NEPTS   102 NPROJ     6 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
  6.7262E-01  4.3373E+00  7.4302E-01  1.0037E+00  5.5253E+00  5.7867E+00  5.9424E+01
  6.9601E-01  5.5821E+00  9.0833E-01  1.4660E+00  7.6501E+00  7.3416E+00  7.8812E+01
  7.1940E-01  5.4419E+00  8.3706E-01  1.6608E+00  7.3283E+00  5.6810E+00  7.1238E+01
  7.4280E-01  1.4086E+01  3.2496E+00  5.7155E+00  3.6653E+01  9.0620E+00  2.4039E+02
  7.6619E-01  7.8646E+00  2.3778E+00  3.2767E+00  2.2239E+01  6.0435E+00  1.4672E+02
  7.8958E-01  1.2093E+01  3.2530E+00  4.6540E+00  1.2819E+01  1.9155E+01  1.7720E+02
  8.1297E-01  1.1120E+01  2.8203E+00  4.5701E+00  1.2513E+01  1.5611E+01  1.5866E+02
  8.3636E-01  2.8455E+00  9.0400E-01  1.2103E+00  2.7421E+00  5.4338E+00  4.5044E+01
  8.5975E-01  2.6276E+00  8.3151E-01  1.6193E+00  3.9088E+00  7.5469E+00  5.9218E+01
  8.8314E-01  5.5642E-01  5.4962E-01  6.7501E-01  1.1231E+00  3.0351E+00  2.1545E+01
  9.0654E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.2993E-01  5.0466E+01  1.5257E+00  7.7123E+00  2.2292E+00  2.4050E+00  1.5337E+02
  9.5332E-01  1.9436E+01  7.0958E-01  3.1900E+00  6.7496E-01  1.0622E+00  6.0000E+01
  9.7671E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0001E+00 -2.8091E+00  1.6706E-02 -5.5155E-02 -2.3881E-01 -3.1397E-01 -8.0165E+00
  1.0235E+00  1.8918E+01  8.4281E-01 -5.5270E-02  1.9177E+00  2.5781E+00  5.7284E+01
  1.0469E+00  1.3978E+01  4.8619E-01 -2.6415E-01  1.5444E+00  2.2914E+00  4.3216E+01
  1.0703E+00  5.1362E+01  2.9821E+00  2.8205E+00  4.2157E+00  3.4974E+00  1.5082E+02
  1.0937E+00  3.3761E+01  2.0199E+00  2.0493E+00  2.6498E+00  1.6594E+00  9.6997E+01
  1.1171E+00  1.2798E+00 -9.2768E-02 -2.9468E-01  1.3985E-01  3.0590E-01  2.9783E+00
  1.1404E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1638E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1872E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2106E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2340E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2574E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2808E+00  1.1908E+02  1.8061E-01  5.1052E+00  4.4718E+00  4.1915E+00  2.9359E+02
  1.3042E+00  2.3372E+01  1.2586E-01  1.4241E-02  6.0704E-01  8.1838E-01  5.2755E+01
  1.3276E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.38439
